iter	Passed	Remaining
362	128803	226027
363	129138	225637
364	129390	225104
365	129685	224646
366	130118	224427
367	130517	224149
368	130882	223813
369	131264	223503
370	131638	223182
371	132014	222862
372	132387	222539
373	132716	222139
374	133071	221785
375	133452	221474
376	133830	221158
377	134202	220830
378	134585	220521
379	134974	220221
380	135351	219902
381	135706	219545
382	136075	219212
383	136417	218837
384	136773	218481
385	137106	218092
386	137443	217707
387	137805	217363
388	138178	217035
389	138543	216695
390	138943	216410
391	139222	215936
392	139462	215403
393	139722	214903
394	139977	214395
395	140244	213908
396	140513	213425
397	140769	212922
398	141009	212397
399	141254	211881
400	141503	211373
401	141750	210862
402	142004	210363
403	142270	209883
404	142515	209375
405	142751	208853
406	143013	208370
407	143251	207854
408	143486	207335
409	143719	206815
410	143953	206297
411	144195	205792
412	144434	205285
413	144668	204771
414	144903	204261
415	145136	203749
416	145372	203242
417	145606	202734
418	145856	202249
419	146094	201749
420	146328	201244
421	146561	200740
422	146793	200236
423	147030	199739
424	147264	199240
425	147512	198760
426	147756	198277
427	148008	197805
428	148281	197363
429	148537	196898
430	148774	196410
431	149026	195942
432	149280	195478
433	149513	194987
434	149776	194537
435	150047	194098
436	150296	193632
437	150552	193174
438	150797	192704
439	151042	192235
440	151280	191759
441	151523	191289
442	151760	190814
443	152030	190379
444	152267	189906
445	152499	189427
446	152739	188960
447	152973	188485
448	153208	188013
449	153443	187541
450	153678	187072
451	153920	186611
452	154163	186153
453	154398	185686
454	154631	185217
455	154866	184753
456	155099	184286
457	155334	183824
458	155567	183359
459	155800	182895
460	156034	182435
461	156271	181978
462	156506	181520
463	156740	181062
464	156973	180604
465	157207	180147
466	157460	179713
467	157707	179273
468	157983	178868
469	158233	178433
470	158484	178000
471	158725	177557
472	158962	177110
473	159212	176678
474	159462	176247
475	159720	175826
476	159962	175388
477	160203	174950
478	160447	174515
479	160701	174093
480	160943	173658
481	161176	173215
482	161433	172796
483	161668	172357
484	161922	171938
485	162160	171503
486	162409	171079
487	162659	170658
488	162894	170223
489	163159	169819
490	163409	169400
491	163662	168984
492	163919	168574
493	164185	168174
494	164423	167745
495	164690	167347
496	164925	166916
497	165184	166511
498	165447	166110
499	165689	165689
500	165971	165309
501	166263	164939
502	166543	164556
503	166821	164173
504	167099	163790
505	167390	163420
506	167661	163032
507	167912	162623
508	168167	162220
509	168418	161813
510	168670	161408
511	168906	160989
512	169139	160567
513	169376	160149
514	169626	159745
515	169864	159329
516	170120	158933
517	170412	158569
518	170694	158196
519	170940	157791
520	171198	157397
521	171442	156991
522	171715	156611
523	171959	156207
524	172213	155812
525	172455	155406
526	172692	154997
527	172949	154606
528	173187	154199
529	173430	153796
530	173699	153418
531	173960	153032
532	174202	152631
533	174438	152225
534	174674	151819
535	174931	151433
536	175189	151047
537	175448	150663
538	175683	150259
539	175950	149883
540	176188	149482
541	176423	149081
542	176663	148683
543	176897	148281
544	177136	147884
545	177404	147512
546	177645	147117
547	177892	146728
548	178132	146335
549	178378	145946
550	178638	145568
551	178874	145173
552	179118	144784
553	179367	144400
554	179606	144008
555	179842	143615
556	180079	143223
557	180315	142830
558	180550	142437
559	180822	142074
560	181094	141712
561	181336	141326
562	181603	140960
563	181879	140601
564	182117	140214
565	182366	139835
566	182629	139468
567	182901	139107
568	183144	138726
569	183380	138339
570	183619	137955
571	183854	137569
572	184090	137184
573	184326	136800
574	184569	136420
575	184811	136041
576	185045	135657
577	185283	135276
578	185519	134893
579	185756	134513
580	185992	134132
581	186225	133749
582	186459	133368
583	186691	132985
584	186926	132605
585	187162	132227
586	187398	131849
587	187632	131470
588	187868	131093
589	188113	130722
590	188399	130381
591	188653	130018
592	188900	129650
593	189141	129278
594	189377	128903
595	189622	128536
596	189863	128166
597	190151	127827
598	190400	127463
599	190638	127092
600	190874	126720
601	191145	126371
602	191410	126019
603	191656	125655
604	191902	125291
605	192156	124933
606	192413	124577
607	192664	124217
608	192922	123863
609	193189	123514
610	193487	123185
611	193758	122840
612	194006	122480
613	194242	122113
614	194529	121778
615	194786	121425
616	195029	121063
617	195320	120732
618	195583	120383
619	195841	120032
620	196078	119667
621	196319	119306
622	196563	118947
623	196837	118607
624	197079	118247
625	197345	117902
626	197619	117563
627	197864	117206
628	198108	116849
629	198380	116509
630	198648	116167
631	198931	115833
632	199268	115531
633	199630	115244
634	200096	115016
635	200611	114815
636	201214	114664
637	201810	114507
638	202400	114345
639	202885	114123
640	203315	113869
641	203830	113662
642	204259	113406
643	204794	113209
644	205426	113064
645	205942	112853
646	206463	112645
647	207117	112508
648	207682	112321
649	207923	111958
650	208163	111595
651	208413	111239
652	208660	110880
653	208914	110526
654	209153	110164
655	209399	109807
656	209664	109459
657	209915	109104
658	210162	108748
659	210411	108394
660	210657	108037
661	210908	107684
662	211186	107345
663	211466	107007
664	211727	106659
665	211977	106307
666	212267	105974
667	212533	105630
668	212788	105281
669	213057	104938
670	213335	104601
671	213619	104266
672	213913	103936
673	214189	103598
674	214442	103249
675	214718	102912
676	214966	102561
677	215210	102209
678	215449	101854
679	215696	101504
680	215962	101163
681	216216	100816
682	216455	100463
683	216694	100110
684	216933	99757
685	217173	99405
686	217412	99053
687	217655	98704
688	217900	98355
689	218141	98005
690	218379	97654
691	218618	97304
692	218857	96954
693	219098	96605
694	219338	96256
695	219577	95907
696	219819	95560
697	220063	95213
698	220299	94864
699	220548	94520
700	220789	94173
701	221025	93825
702	221279	93484
703	221535	93145
704	221776	92800
705	222016	92454
706	222257	92109
707	222498	91764
708	222747	91424
709	222986	91078
710	223222	90733
711	223461	90388
712	223735	90059
713	224019	89733
714	224295	89404
715	224572	89076
716	224857	88751
717	225114	88415
718	225369	88078
719	225667	87759
720	225938	87429
721	226185	87091
722	226426	86749
723	226677	86413
724	226926	86075
725	227198	85747
726	227450	85411
727	227690	85071
728	227943	84736
729	228193	84400
730	228433	84061
731	228674	83722
732	228913	83383
733	229151	83044
734	229391	82705
735	229631	82367
736	229878	82032
737	230115	81694
738	230355	81357
739	230603	81022
740	230841	80685
741	231079	80348
742	231317	80011
743	231556	79675
744	231798	79340
745	232036	79004
746	232275	78669
747	232513	78333
748	232755	77999
749	232992	77664
750	233231	77329
751	233473	76996
752	233712	76662
753	233951	76328
754	234188	75994
755	234442	75666
756	234694	75337
757	234950	75010
758	235195	74679
759	235433	74347
760	235672	74015
761	235927	73688
762	236180	73361
763	236424	73031
764	236680	72705
765	236919	72374
766	237159	72044
767	237402	71715
768	237641	71385
769	237886	71057
770	238132	70729
771	238372	70400
772	238615	70071
773	238850	69742
774	239088	69412
775	239336	69086
776	239576	68758
777	239817	68431
778	240056	68103
779	240301	67777
780	240543	67450
781	240781	67123
782	241021	66796
783	241265	66471
784	241503	66144
785	241741	65817
786	241980	65491
787	242225	65167
788	242496	64850
789	242773	64534
790	243020	64211
791	243305	63898
792	243547	63574
793	243805	63254
794	244068	62935
795	244324	62615
796	244589	62298
797	244881	61987
798	245148	61670
799	245409	61352
800	245657	61030
801	245898	60708
802	246163	60391
803	246405	60069
804	246662	59750
805	246908	59429
806	247149	59107
807	247416	58792
808	247659	58470
809	247895	58148
810	248156	57831
811	248422	57516
812	248672	57197
813	248950	56885
814	249192	56565
815	249431	56244
816	249711	55932
817	249978	55618
818	250232	55301
819	250476	54982
820	250718	54663
821	250957	54343
822	251222	54029
823	251476	53713
824	251717	53394
825	251962	53076
826	252201	52758
827	252444	52440
828	252684	52121
829	252926	51804
830	253214	51496
831	253491	51185
832	253740	50869
833	253982	50552
834	254244	50239
835	254509	49927
836	254805	49621
837	255063	49308
838	255346	48999
839	255610	48687
840	255892	48379
841	256175	48070
842	256450	47761
843	256726	47451
844	257003	47142
845	257275	46832
846	257548	46522
847	257784	46206
848	258062	45898
849	258305	45583
850	258638	45284
851	259238	45032
852	259786	44769
